request,reponse,result
0C 6A 00 00 00 06 01 01 00 00 00 64 ,0C 6A 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 6B 00 00 00 06 01 01 00 00 00 64 ,0C 6B 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 6C 00 00 00 06 01 01 00 00 00 64 ,0C 6C 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 6D 00 00 00 06 01 01 00 00 00 64 ,0C 6D 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 6E 00 00 00 06 01 01 00 00 00 64 ,0C 6E 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 6F 00 00 00 06 01 01 00 00 00 64 ,0C 6F 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 70 00 00 00 06 01 01 00 00 00 64 ,0C 70 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 71 00 00 00 06 01 01 00 00 00 64 ,0C 71 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 72 00 00 00 06 01 01 00 00 00 64 ,0C 72 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 73 00 00 00 06 01 01 00 00 00 64 ,0C 73 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 74 00 00 00 06 01 01 00 00 00 64 ,0C 74 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 75 00 00 00 06 01 01 00 00 00 64 ,0C 75 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 76 00 00 00 06 01 01 00 00 00 64 ,0C 76 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 77 00 00 00 06 01 01 00 00 00 64 ,0C 77 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 78 00 00 00 06 01 01 00 00 00 64 ,0C 78 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
